"Model_ID","COSMIC_ID","CELL_LINE_NAME","SANGER_MODEL_ID","TCGA_DESC","DRUG_NAME","LN_IC50","Z_SCORE","MGMT (4255)","ABCB1 (5243)"
"ACH-000040",687588,"U-118-MG","SIDM01193","GBM","Temozolomide",6.651852,1.420157,1.70654823387033,0.399410657029309
"ACH-000075",687590,"U-87-MG","SIDM01189","GBM","Temozolomide",6.669753,1.44301,0.0481427004502096,0.100436787933634
"ACH-000137",687562,"8-MG-BA","SIDM00998","GBM","Temozolomide",3.877865,-2.121224,0.105057156372627,0.480565005982918
"ACH-000232",905983,"U251","SIDM00111","GBM","Temozolomide",4.288806,-1.596601,0.0552928489014965,0.327796568034029
"ACH-000244",906839,"DK-MG","SIDM00947","GBM","Temozolomide",6.326676,1.005024,0.0493394114818006,1.35110814150941
"ACH-000269",910933,"AM-38","SIDM00492","GBM","Temozolomide",5.559881,0.026103,0.054251136630158,2.39035127037233
"ACH-000323",687561,"42-MG-BA","SIDM00982","GBM","Temozolomide",4.817654,-0.921453,0.0250840908338544,0.00775954948663509
"ACH-000376",905985,"SF295","SIDM00084","GBM","Temozolomide",5.208727,-0.422193,0.930458042611191,3.38289408245468
"ACH-000437",909745,"SW1088","SIDM01155","GBM","Temozolomide",5.148131,-0.499553,0.131420907646847,0.252625168871394
"ACH-000464",910943,"CAS-1","SIDM00212","GBM","Temozolomide",6.473192,1.192072,0.0226746083477031,0.371238785773733
"ACH-000469",909905,"YH-13","SIDM00316","GBM","Temozolomide",5.835119,0.377483,3.96407512170942,0.251063407236134
"ACH-000504",905982,"SNB75","SIDM00095","GBM","Temozolomide",6.525782,1.25921,0.0668923972358384,0.357181501110659
"ACH-000558",687563,"A172","SIDM00799","GBM","Temozolomide",4.999833,-0.688876,0.112829552534056,0.240598870960392
"ACH-000570",687592,"YKG-1","SIDM00315","GBM","Temozolomide",5.881361,0.436517,4.03324678374794,0.491934141454637
"ACH-000571",687586,"T98G","SIDM01171","GBM","Temozolomide",5.294475,-0.312725,3.25061752854904,0.111775177193586
"ACH-000595",1240169,"LN-229","SIDM00684","GBM","Temozolomide",4.71008,-1.058785,0.0947022519319742,0.757293833159127
"ACH-000609",909712,"SF126","SIDM00382","GBM","Temozolomide",5.620258,0.103183,0.0241012014574509,3.78206252825453
"ACH-000631",907313,"KS-1","SIDM00555","GBM","Temozolomide",4.945949,-0.757666,0.282341348460128,0.0497701518163845
"ACH-000655",905986,"SF268","SIDM00085","GBM","Temozolomide",4.98822,-0.703701,0.349537394207724,0.125652424021171
"ACH-000738",687568,"GB-1","SIDM00581","GBM","Temozolomide",4.952762,-0.748969,0,5.05000968676536
"ACH-000819",1240168,"LN-18","SIDM00685","GBM","Temozolomide",5.268585,-0.345777,4.0772002644417,4.40154172882768
"ACH-000863",906835,"DBTRG-05MG","SIDM00867","GBM","Temozolomide",6.145811,0.774125,0.0375593410451075,2.24306884859768
"ACH-001016",906746,"Becker","SIDM00490","GBM","Temozolomide",5.33118,-0.265865,0.240641608417071,0.884336121834272
"ACH-001118",949094,"M059J","SIDM00659","GBM","Temozolomide",4.804521,-0.938219,NA,NA
"ACH-002224",946367,"D-247MG","SIDM00622","GBM","Temozolomide",6.36679,1.056235,NA,NA
"ACH-002225",946368,"D-263MG","SIDM00732","GBM","Temozolomide",5.886871,0.443551,NA,NA
"ACH-002227",946370,"D-392MG","SIDM00542","GBM","Temozolomide",6.330392,1.009769,NA,NA
"ACH-002228",946372,"D-423MG","SIDM00209","GBM","Temozolomide",3.548285,-2.541979,NA,NA
"ACH-002230",753549,"D-542MG","SIDM00207","GBM","Temozolomide",6.303184,0.975033,NA,NA
"ACH-002231",946377,"D-566MG","SIDM00206","GBM","Temozolomide",4.649564,-1.136043,NA,NA
"ACH-002268",910694,"LN-405","SIDM00343","GBM","Temozolomide",6.355735,1.042122,NA,NA
"ACH-002269",1240170,"LNZTA3WT4","SIDM01220","GBM","Temozolomide",4.409666,-1.442307,NA,NA
"ACH-002304",909729,"SK-MG-1","SIDM00379","GBM","Temozolomide",5.576768,0.047662,NA,NA
